query,pos_context,neg_context
make: str = Field(description= Manufacturer name of the aircraft or the plane),"office: 8184420096 office: fax: fax: 8184747927 fax: embraer group 514-636-2020 (office) 800-787-9749 (efax-cards) please reach out to your analyst to analyst: record changes to address, last actuals email: embraermtlgroup@campsystems.com 514-636-7866 (fax) 631-980-4222 (efax-cards) (if any). www.campsystems.com filter criteria : spl. reqs:include;pn/sn-unknown components:include;task type:package, component, service aircraft manufacturer: embraer serial/regno: 14501198/n1977h","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
make: str = Field(description= Manufacturer name of the aircraft or the plane),"section a2.5.2, fuel system limitation items, of appendix 2 of embraer legacy bj–maintenance planning guide mpg-1483 (restatement of ad 2008-13-15) mos 26-feb-2014 09-feb-2011 hrs/msc - 0 afl 0 faa 2011-01-01 para (f)(2) perform incorporate new limitations for fuel tank systems revise als of the ica to incorporate mandatory complied with","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
make: str = Field(description= Manufacturer name of the aircraft or the plane),"inside the ventral fuel tank on the embraer emb-145xr aircraft model is not protected in accordance with sfar-88 (special federal aviation regulation 88) requirements.: , not applicable - t: , o aircraft model: [extracted table] master ad/si report aircraft all bulletins with compliance or due emb-135bj - legacy 650 s/n","emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406"
model: str = Field(description= Model name of the aircraft or the plane),model: emb-135bj - legacy 650 certification date: 26-feb-2014 last actuals: 2079.3 a/c hrs as of10-dec-2022 1204 afl as of10-dec-2022 1802 aph as of20-oct-2022 apu manufacturer: pratt & whitney canada corp. serial/part: sp-e1328158/4504113a model: aps500r/t-62t-40c14 installed on: 12-dec-2013 last actuals: 1802 apu hrs as of20-oct-2022 0 apu hrs 0 a/c hrs,"low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
model: str = Field(description= Model name of the aircraft or the plane),", service ata:53: status report 14-dec-2022 11:31 am model: emb-135bj - legacy 650 serial: 14501198 regno: n1977h hrs: 2079.3 afl: 1204 as of: 10-dec-2022 next due pn & sn unit c/w interval tsx/adj. max limit remaining disposition (eng/apu) a/c ata 53 - fuselage 53-21-00-220-810-l00s detailed inspection (internal) of fuselage components:-","low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
serialNumber: str = Field(description= s/n Serial Number specific to this aircraft or the plane. It's only number no letters.),"ata:53: [extracted table] [extracted table] [extracted table] 53-23-00-220-811-l00: , detailed inspection (internal) of fuselage components:- passenger cabin floor beams and columns (ssi 53-20-11) note: applicable to aircraft pre-mod. s.b.145leg-00-0007. (l600 only): , service ata:53: [extracted table] [extracted table] status report 14-dec-2022 11:31 am model: emb-135bj - legacy 650 serial: 14501198","low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
serialNumber: str = Field(description= s/n Serial Number specific to this aircraft or the plane. It's only number no letters.),"report aircraft all bulletins with compliance or due emb-135bj - legacy 650 s/n 14501198 (n1977h): 2079.3hrs, 1204 afl as of 10-dec-2022 report date: 20-dec-2022 task no. description unit interval compliance next due disposition moc sb 145leg-30-0020 rev ice and rain protection - pitot #1 and #2 tubbing system improvement (superseded","low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
registration: str = Field(description= Registration number of the aircraft or the plane. It comes after the serial number by |),2015 legacy 650 sn 14501198 | n1977h 2015 legacy 650 s/n14501198| n1977h aircraft highlights  engines enrolled on rolls royce corporate care  embraer executive care enhanced  fans 1/a cpdlc  nz 2000 fms 6.1 software (waas/lpv)  gogo avance l5 high speed us domestic wi-fi  ovation cabin,"low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
registration: str = Field(description= Registration number of the aircraft or the plane. It comes after the serial number by |),"emb-135bj - legacy 650 master ad/si report s/n 14501198 n1977h owner: libertatum, llc operator: jet edge operator: western air charter inc dba jet edge address: 16700c roscoe blvd. van nuys address: 16700 c roscoe blvd address: 16700 c roscoe blvd ca 91406 van nuys ca 91406 van nuys ca 91406","low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
registration: str = Field(description= Registration number of the aircraft or the plane. It comes after the serial number by |),"also be performed for 53-30-35 (l600 only): , service ata:53: [extracted table] [extracted table] [extracted table] [extracted table] [extracted table] [extracted table] [extracted table] status report 14-dec-2022 11:31 am model: emb-135bj - legacy 650 serial: 14501198 regno: n1977h hrs: 2079.3 afl: 1204 as of: 10-dec-2022 next due pn & sn","low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-53-00-710-002-a00s operationally check ""takeoff flaps"" aural warning and no takeoff configuration visual warning service ata:27 12s (+15d/-15d) mos 10-may-22 low utilization 500s (+20/-20) hrs 1665.9 afl 1013 proc. ref: amm 27-53-00 pkg:5002 wo#: 16505-1977h-mxsc 27-62-00-720-001-a00s"
